Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-2077.08	-2230.455	153.3756	1.294965	0.686213	0.0945657	0.118	0.101221	1.330314	4.46005
6	-2080.329	-2233.138	152.8088	1.223008	0.766476	0.0483227	0.0851821	0.100019	1.038622	4.977518
12	-2086.452	-2239.479	153.0276	1.514395	0.80177	0.038859	0.132873	0.0264981	1.192461	4.623645
18	-2082.243	-2233.016	150.7734	1.585798	0.765916	0.0249346	0.17842	0.0307293	0.9704085	5.958213
24	-2076.349	-2230.402	154.0525	1.154074	0.767176	0.0246018	0.196336	0.0118858	1.026981	4.32373
30	-2092.563	-2245.635	153.0719	1.068268	0.575113	0.28084	0.135824	0.00822252	0.9508901	4.962552
36	-2095.143	-2248.624	153.4808	1.193957	0.692593	0.122571	0.167318	0.0175173	1.086617	4.59076
42	-2082.453	-2235.784	153.3311	1.277529	0.704355	0.130068	0.155049	0.0105276	1.158378	4.59076
48	-2085.709	-2238.936	153.2268	1.277529	0.766514	0.10974	0.114863	0.00888232	1.262623	4.59076
54	-2094.216	-2249.112	154.8964	1.22034	0.534849	0.329701	0.107141	0.0283092	1.110934	3.75834
60	-2085.683	-2241.437	155.7538	1.376208	0.741045	0.201883	0.0308167	0.0262555	1.220323	3.108661
66	-2084.1	-2239.39	155.2906	1.279994	0.815506	0.156285	0.0104812	0.0177279	1.268078	3.405721
72	-2080.583	-2235.663	155.0793	1.43092	0.750145	0.136141	0.0279197	0.0857945	1.34346	3.405721
78	-2088.297	-2244.211	155.9138	1.239685	0.839151	0.0676807	0.0228752	0.0702933	1.268818	3.058663
84	-2096.819	-2249.988	153.1689	1.591099	0.772192	0.0574237	0.0208333	0.149551	1.096738	4.561509
90	-2087.573	-2241.957	154.3837	2.029641	0.82266	0.0586033	0.0212613	0.0974758	1.160793	3.635172
96	-2081.474	-2236.175	154.7011	1.555091	0.797846	0.0261051	0.0815131	0.0945357	1.290451	3.594623
102	-2089.704	-2244.899	155.1947	1.103964	0.700566	0.145559	0.0263887	0.127486	1.370502	3.499201
108	-2086.185	-2241.353	155.1684	1.284223	0.85672	0.0838965	0.0114375	0.0479459	1.226472	3.499201
114	-2083.302	-2239.225	155.923	1.142918	0.774819	0.0481723	0.106872	0.0701369	1.316665	3.079269
120	-2082.855	-2239.538	156.6829	1.470341	0.821113	0.131634	0.0389449	0.00830802	1.44975	2.347459
126	-2077.849	-2232.602	154.7535	1.471219	0.827214	0.0958951	0.0750685	0.00182285	1.314694	3.591997
132	-2075.226	-2231.141	155.9154	1.21933	0.807818	0.117093	0.0733084	0.00178011	1.406452	2.986657
138	-2080.114	-2233.856	153.7428	1.56699	0.781364	0.136816	0.0798806	0.0019397	1.167478	4.209176
144	-2085.368	-2239.457	154.0885	1.168711	0.678813	0.0748424	0.240458	0.00588649	1.136092	4.233685
150	-2078.142	-2230.944	152.8017	1.24136	0.864987	0.0473183	0.0714282	0.0162669	1.077001	4.950607
156	-2071.653	-2225.42	153.7676	1.147044	0.741269	0.184972	0.0701609	0.00359868	1.165633	4.410093
162	-2082.86	-2234.128	151.268	1.468406	0.670324	0.131553	0.16877	0.0293539	1.020193	5.715435
168	-2077.093	-2233.264	156.1712	0.9278343	0.791781	0.0386128	0.146249	0.0233579	1.449211	2.978742
174	-2079.16	-2232.268	153.1079	1.164898	0.499403	0.433936	0.0622332	0.00442814	1.140437	4.784808
180	-2086.791	-2240.109	153.3179	1.008083	0.598709	0.357044	0.0339334	0.0103135	1.040407	4.808834
186	-2084.901	-2235.625	150.724	0.9504605	0.531478	0.383906	0.0551006	0.0295156	0.8168992	6.388515
192	-2095.939	-2245.455	149.5158	1.23491	0.400986	0.428289	0.137798	0.0329279	0.7793711	6.912302
198	-2089.532	-2241.188	151.6555	1.461	0.530361	0.404975	0.0435192	0.0211448	0.9662055	5.535972
204	-2092.797	-2245.081	152.2841	1.681937	0.59288	0.263205	0.130043	0.0138727	1.084081	5.020498
