Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	tree_length
0	-2092.887	-2248.558	155.6703	0.140294	0.383524	0.616476	0.859706	1.132542	0.244045	0.00268393	0.0410071	0.0287043	0.143572	0.0569801	0.048192	0.00167151	0.0198889	0.0492062	0.0556421	0.121268	0.106277	0.0619486	0.0562637	0.0929626	0.101113	0.0276124	0.00130891	0.0339895	0.207008	0.0444335	0.000388037	0.00341974	0.00284616	0.00169972	0.00395873	0.00695395	0.000460333	0.00043158	0.00991199	0.00140863	0.0104736	0.0236367	0.0141586	0.0231791	0.0123849	0.00620941	0.00619029	0.0256889	0.0396424	0.0114964	0.0232314	0.0273537	0.00540782	0.0392682	0.0806667	0.00554468	0.0139774	0.00676923	0.0710232	0.0794066	0.0249238	0.00151132	0.0260479	0.0791527	0.0141897	0.0310401	0.0786892	0.0580735	0.0399229	0.01026	0.0943042	0.017048	0.0142475	0.0218207	0.0876434	0.0078286	0.0139324	0.0138858	0.0870949	0.00171797	0.0427729	0.0691688	0.0106569	0.0251026	0.00308016	0.0574961	0.00438949	0.00044093	0.0479266	0.0161532	0.0106592	0.00993964	0.0150895	0.0505739	0.00196073	0.00739102	0.0105745	0.0040674	0.00194471	0.716592	0.142519	0.1303	0.0105882	0.15462	0.402349	0.752737	1.32848	2.4854	6.46745	1.349812	0.075892	0.000834637	0.0127522	0.00892634	0.0446474	0.0177194	0.0149865	0.000519799	0.00618496	0.0153019	0.0173033	0.0377114	0.0330494	0.0192645	0.0174966	0.0289091	0.0314435	0.00858678	0.000407039	0.0105699	0.0643743	0.0138177	0.00012067	0.00106346	0.000885086	0.000528572	0.00123107	0.00216251	0.000143152	0.000134211	0.00308239	0.000438049	0.00325703	0.00735042	0.00440298	0.00720812	0.00385139	0.00193097	0.00192503	0.0079886	0.0123278	0.00357509	0.00722439	0.00850632	0.0016817	0.0122114	0.0250854	0.00172426	0.00434664	0.00210506	0.0220865	0.0246935	0.0077507	0.000469983	0.00810026	0.0246145	0.00441263	0.00965272	0.0244704	0.0180594	0.012415	0.00319061	0.0293263	0.0053015	0.00443062	0.00678571	0.0272549	0.0024345	0.00433263	0.00431813	0.0270844	0.000534248	0.0133013	0.0215098	0.00331403	0.0078063	0.000957853	0.0178799	0.00136502	0.000137118	0.014904	0.00502324	0.00331476	0.00309099	0.00469246	0.0157272	0.000609738	0.00229842	0.00328843	0.00126486	0.000604757	3.215688
36	-2094.359	-2248.843	154.4845	0.169464	0.39791	0.60209	0.830537	1.432908	0.225916	0.0536297	0.0341742	0.0162929	0.0781964	0.0833985	0.0790054	0.0140093	0.00212999	0.00990803	0.0847234	0.156415	0.0447452	0.0389055	0.0411397	0.148332	0.112466	0.0366627	0.00121238	0.0866627	0.19307	0.0618117	0.00409145	0.00571931	0.00875601	0.0083724	0.00740627	0.00603187	0.00544848	0.0040454	0.00973839	0.000242757	0.0128804	0.0417475	0.0271952	0.0274472	0.0106387	0.0273677	0.0105031	0.0245135	0.0278137	0.0194412	0.0128801	0.0503429	0.01417	0.0755304	0.136193	0.0163789	0.0276925	0.0263822	0.00450374	0.0656993	0.0894666	0.00324019	0.0927769	0.0503934	0.0173756	0.101136	0.0533821	0.0187276	0.0595462	0.0331274	0.143111	0.00750392	0.00256242	0.0590626	0.0776192	0.00703202	0.0359539	0.0194572	0.129818	0.00583722	0.0232479	0.0805532	0.00405795	0.0290109	0.00557859	0.0356279	0.048893	0.00967914	0.0686605	0.012888	0.00779989	0.00198701	0.0334717	0.125586	0.0015583	0.00348407	0.00796802	0.00115007	0.00237997	0.651779	0.123463	0.182947	0.0418109	0.190045	0.444935	0.776739	1.28743	2.24752	5.2619	1.200651	0.0589445	0.0139927	0.0089165	0.00425104	0.0204025	0.0217598	0.0206135	0.00365522	0.000555743	0.00258514	0.0221055	0.0408107	0.0116746	0.0101509	0.0107339	0.0387019	0.029344	0.00956577	0.000316326	0.0226114	0.0503744	0.0161275	0.00106751	0.00149224	0.00228456	0.00218447	0.00193239	0.00157379	0.00142158	0.0010555	0.00254087	6.33385e-05	0.00336067	0.0108925	0.00709559	0.00716133	0.00277579	0.0071406	0.0027404	0.0063959	0.00725697	0.00507247	0.00336058	0.0131351	0.00369713	0.0197069	0.0355347	0.00427346	0.00722534	0.00688347	0.00117508	0.0171418	0.023343	0.000845407	0.0242067	0.0131483	0.00453352	0.0263876	0.0139281	0.00488626	0.0155364	0.00864337	0.0373397	0.00195787	0.000668569	0.0154102	0.0202519	0.00183475	0.00938084	0.00507663	0.0338713	0.00152301	0.00606568	0.0210174	0.00105877	0.00756932	0.00145553	0.00929579	0.0127568	0.00252541	0.0179144	0.00336266	0.00203509	0.000518437	0.0087332	0.0327669	0.000406582	0.000909039	0.00207896	0.000300069	0.000620965	3.832693
72	-2092.496	-2246.124	153.6281	0.18113	0.403121	0.59688	0.81887	1.575079	0.222177	0.00375891	0.0799471	0.0505895	0.09221	0.0932305	0.105941	0.000956948	0.0129069	0.0511126	0.0953841	0.126826	0.0522691	0.00108178	0.0623704	0.160797	0.165941	0.047527	0.00181918	0.0663404	0.237889	0.0888795	0.0258434	0.0147421	0.0198088	0.0151707	0.000900348	0.0113101	0.0146888	0.00740261	0.000591611	0.000881172	0.00756549	0.0338721	0.0151439	0.011458	0.0273272	0.0341144	0.0107243	0.00894807	0.0195244	0.0241496	0.0130556	0.0562479	0.0115889	0.0422619	0.147064	0.0164685	0.0159175	0.00596305	0.07863	0.110047	0.107759	0.0114113	0.050796	0.106004	0.0479827	0.0576812	0.0637799	0.00502289	0.0565633	0.00402499	0.210671	0.00539058	0.00321507	0.138824	0.154671	0.00703473	0.0201188	0.0755636	0.0785546	0.00044641	0.0180142	0.0942692	0.00560991	0.0510684	0.00455709	0.0252615	0.0255497	0.00722135	0.017987	0.0128958	0.0106603	0.00718034	0.0401018	0.137274	0.00265035	0.0164842	0.00467044	0.00164609	0.0102865	0.709814	0.106074	0.163992	0.0201193	0.224823	0.482938	0.796856	1.25493	2.07066	4.44795	1.079139	0.0514267	0.000870063	0.0185051	0.0117098	0.0213436	0.0215798	0.0245219	0.000221502	0.00298753	0.0118309	0.0220783	0.0293559	0.0120986	0.000250397	0.0144367	0.0372193	0.0384099	0.0110009	0.00042108	0.0153556	0.0550635	0.0205727	0.0059819	0.00341232	0.00458509	0.00351151	0.000208401	0.00261791	0.00339998	0.00171346	0.000136939	0.000203962	0.00175116	0.00784028	0.00350531	0.00265216	0.00632534	0.00789636	0.00248233	0.00207118	0.00451925	0.00558985	0.00302194	0.0130195	0.00268246	0.00978223	0.0340404	0.00381192	0.00368439	0.00138025	0.0182003	0.0254722	0.0249426	0.00264134	0.0117576	0.0245364	0.0111064	0.0133513	0.014763	0.00116263	0.0130925	0.000931653	0.0487634	0.00124774	0.000744182	0.0321331	0.0358013	0.00162831	0.00465685	0.0174905	0.0181828	0.000103329	0.00416969	0.0218202	0.00129851	0.0118207	0.00105482	0.00584721	0.00591392	0.0016715	0.00416341	0.00298495	0.0024675	0.00166201	0.00928224	0.0317744	0.000613468	0.00381554	0.00108105	0.000381016	0.002381	4.320269
108	-2085.212	-2241.989	156.7764	0.136334	0.381391	0.618609	0.863667	1.09679	0.0773718	0.0236562	0.00966947	0.00310271	0.0575349	0.0622508	0.0519331	0.00285735	0.00103397	0.0568308	0.0355117	0.054892	0.0359951	0.0204859	0.0355136	0.079747	0.0860812	0.0408976	0.00389343	0.0314471	0.129447	0.0735969	0.00152509	0.00380334	0.00562589	0.000297046	0.00375133	0.000895519	0.00227045	0.00737428	0.00455912	0.00147547	0.00198377	0.0456154	0.0227011	0.0104481	0.010472	0.00439696	0.00582683	0.0157268	0.0151088	0.00774531	0.00630328	0.00426393	0.0119285	0.0013927	0.10138	0.00229822	0.00738895	0.0938779	0.00148415	0.0335833	0.0064603	0.0535624	0.00819612	0.00326395	0.0548792	0.00916808	0.0171842	0.0220077	0.00676188	0.00748414	0.026862	0.00145538	0.127651	0.0418106	0.00160895	0.00325924	0.0255637	0.00793109	0.0848308	0.0197743	0.035905	0.0030415	0.036684	0.00259242	0.0046933	0.0924098	0.0173316	0.0295234	0.105527	0.00134939	0.0808684	0.00386781	0.010712	0.00265612	0.00060628	0.0224539	0.025855	0.00481496	0.0215285	0.656436	0.197732	0.139988	0.0058435	0.116984	0.351174	0.721458	1.38608	2.84759	8.5482	1.551504	0.0316917	0.00968967	0.00396064	0.00127088	0.0235665	0.0254981	0.021272	0.00117038	0.000423516	0.0232781	0.0145457	0.0224839	0.0147437	0.00839108	0.0145465	0.0326646	0.0352591	0.0167518	0.00159476	0.0128808	0.053022	0.0301455	0.000624683	0.00155786	0.00230438	0.000121671	0.00153656	0.000366808	0.000929983	0.00302053	0.00186743	0.000604356	0.000812558	0.0186842	0.00929844	0.00427957	0.00428935	0.00180101	0.00238669	0.00644173	0.00618862	0.0031725	0.00258184	0.00174652	0.00488594	0.000570455	0.0415254	0.000941356	0.00302654	0.0384527	0.000607914	0.0137558	0.00264616	0.0219393	0.00335716	0.00133693	0.0224787	0.00375527	0.00703871	0.00901442	0.00276969	0.00306553	0.0110027	0.00059613	0.0522861	0.0171258	0.000659031	0.001335	0.010471	0.0032486	0.0347469	0.0080996	0.0147068	0.00124581	0.0150259	0.00106186	0.00192239	0.0378514	0.00709906	0.0120929	0.0432241	0.000552716	0.033124	0.00158427	0.00438765	0.00108795	0.000248334	0.00919719	0.0105903	0.00197222	0.00881812	2.441388
144	-2075.885	-2230.835	154.9506	0.195118	0.409038	0.590961	0.804882	1.76642	0.23543	0.0233468	0.0365913	0.088318	0.0709258	0.0980023	0.0432484	0.00345195	0.0132656	0.059474	0.0743167	0.0846892	0.0488613	0.0408817	0.0149022	0.0776085	0.146867	0.0458606	0.0010467	0.0181863	0.249449	0.0495011	0.00019573	0.00503752	0.00124433	0.0139139	0.00528415	0.00192347	0.00958202	0.000172624	0.000731026	0.00749952	0.00633955	0.0327882	0.0273348	0.0145492	0.00772015	0.00827863	0.0100704	0.015586	0.010212	0.00643035	0.0211909	0.0303209	0.00530263	0.0180648	0.118484	0.00337245	0.0167462	0.161473	0.00394874	0.0852761	0.028495	0.0680722	0.0126003	0.0122523	0.0833979	0.0108146	0.0202091	0.0190201	0.0151028	0.0238754	0.0401235	0.00174692	0.102656	0.0535279	0.00933216	0.00182156	0.0240043	0.00542136	0.0198395	0.0271635	0.110351	0.00815471	0.0454293	0.00269025	0.0210813	0.0257768	0.0054377	0.0323676	0.0589537	9.61173e-05	0.0710612	0.00273831	0.0070285	0.00159911	0.00875185	0.0644109	0.0260928	0.00845125	0.00244181	0.758472	0.0683004	0.171557	0.00166995	0.135401	0.377129	0.737688	1.35559	2.65161	7.38546	1.445786	0.0723134	0.00717109	0.0112392	0.0271273	0.0217852	0.0301019	0.013284	0.00106028	0.00407459	0.0182677	0.0228267	0.0260127	0.015008	0.012557	0.00457729	0.0238378	0.0451108	0.0140863	0.000321498	0.005586	0.0766195	0.0152045	6.01195e-05	0.0015473	0.0003822	0.00427372	0.00162305	0.000590804	0.00294316	5.30223e-05	0.000224538	0.00230351	0.00194722	0.0100711	0.00839602	0.00446887	0.00237128	0.00254282	0.00309318	0.00478732	0.00313665	0.00197511	0.00650888	0.00931321	0.00162873	0.00554867	0.0363929	0.00103586	0.00514368	0.0495971	0.00121287	0.026193	0.00875238	0.0209087	0.00387024	0.00376334	0.0256161	0.00332176	0.00620731	0.00584212	0.00463889	0.00733344	0.0123241	0.000536575	0.0315311	0.0164414	0.00286642	0.0005595	0.00737303	0.0016652	0.00609381	0.0083434	0.0338949	0.00250476	0.0139538	0.000826323	0.00647523	0.00791747	0.00167022	0.00994185	0.0181079	2.95229e-05	0.0218268	0.000841085	0.00215884	0.000491174	0.00268817	0.0197841	0.00801454	0.00259584	0.000750015	3.255688
180	-2086.967	-2242.732	155.7644	0.160372	0.393652	0.606348	0.839628	1.331574	0.247898	0.00709402	0.0262248	0.01221	0.112668	0.0949133	0.0907282	0.00338384	0.00410742	0.0429839	0.0812552	0.0991096	0.0834121	0.0121402	0.0226097	0.0555627	0.0941667	0.0282299	0.000737695	0.0251165	0.169346	0.0646906	0.00131024	0.00853226	0.00599403	0.00331518	0.00302225	0.00252824	0.00259189	0.000347332	0.00316449	0.00711764	0.00362239	0.0313382	0.0143659	0.0113863	0.0129264	0.0054369	0.00912717	0.0104623	0.0347804	0.0240847	0.0197646	0.0203988	0.0108303	0.00974307	0.0767268	0.00879744	0.0116354	0.156732	0.00189906	0.0206621	0.0303509	0.0908349	0.00961743	0.0083931	0.0386504	0.00954668	0.0206805	0.00552661	0.0234288	0.0262671	0.0246028	0.00111683	0.0995033	0.0251421	0.00714283	0.00721023	0.0017726	0.0253065	0.0353624	0.0291828	0.0882968	0.00517923	0.0241853	0.0110351	0.0129013	0.0836579	0.00477318	0.0222517	0.0840624	0.00104036	0.0325393	0.00716962	0.00810834	0.00849696	0.0104915	0.108771	0.0515309	0.0103576	0.00933497	0.69265	0.233735	0.0582208	0.0153939	0.142948	0.387238	0.743801	1.34445	2.58239	6.99555	1.406568	0.0822202	0.00235287	0.00869796	0.00404969	0.0373685	0.0314798	0.0300917	0.00112232	0.0013623	0.0142564	0.0269498	0.0328716	0.0276652	0.00402652	0.00749892	0.0184284	0.0312322	0.00936298	0.000244671	0.00833035	0.0561667	0.0214558	0.000434566	0.00282989	0.00198803	0.00109954	0.00100239	0.000838539	0.000859648	0.000115199	0.00104956	0.0023607	0.00120143	0.0103939	0.00476471	0.00377648	0.00428728	0.00180325	0.0030272	0.00347002	0.0115356	0.00798813	0.00655529	0.00676566	0.00359209	0.00323147	0.0254479	0.00291784	0.00385911	0.0519833	0.00062986	0.00685299	0.0100664	0.0301271	0.0031898	0.00278373	0.0128191	0.00316634	0.00685909	0.00183301	0.0077706	0.00871198	0.00816	0.000370417	0.0330021	0.00833887	0.00236905	0.00239141	0.000587918	0.00839339	0.0117286	0.00967903	0.0292853	0.00171779	0.0080215	0.00366	0.00427897	0.0277467	0.00158312	0.00738019	0.0278809	0.000345054	0.0107923	0.00237794	0.00268928	0.00281818	0.00347971	0.0360759	0.0170912	0.0034353	0.00309612	3.015055
216	-2081.349	-2235.025	153.6766	0.18829	0.406192	0.593808	0.81171	1.66994	0.165924	0.0602074	0.0466032	0.0292395	0.121133	0.053246	0.111648	0.00721041	0.00456394	0.0494229	0.0697322	0.21881	0.0981321	0.0993724	0.0362636	0.0911731	0.0612795	0.0439762	0.00694552	0.0524559	0.256443	0.0863546	0.0110045	0.0108028	0.0152264	0.00179203	0.0033408	0.00836569	0.00139964	0.0021485	0.000329763	0.0096131	0.00420762	0.0276446	0.0149527	0.0253322	0.0262847	0.00981523	0.00959945	0.0295157	0.0501711	0.00591828	0.0127375	0.0400336	0.0163269	0.0173045	0.0622486	0.000974905	0.00368204	0.0229925	0.00618115	0.00712262	0.00464142	0.0160671	0.0293843	0.0117165	0.023324	0.197816	0.0573717	0.0161877	0.0354747	0.0379522	0.00860989	0.00272092	0.00500177	0.156885	0.140591	0.00418612	0.125766	0.0127559	0.00154085	0.0069137	0.0140758	0.0619977	0.00303665	0.0648382	0.000983019	0.015459	0.040159	0.112303	0.216852	0.00771799	0.00535109	0.00159144	0.0251199	0.0809819	0.0295807	0.194058	0.0249868	0.00436134	0.020498	0.834274	0.0427276	0.112672	0.0103268	0.137533	0.380014	0.739444	1.35237	2.63148	7.27097	1.434489	0.0410087	0.0148805	0.0115181	0.00722666	0.0299386	0.0131599	0.0275943	0.00178208	0.00112799	0.012215	0.0172346	0.0540797	0.0242537	0.0245603	0.00896268	0.0225338	0.0151454	0.0108689	0.00171661	0.0129647	0.0633809	0.0213429	0.0027198	0.00266996	0.00376327	0.000442907	0.000825692	0.00206761	0.000345926	0.000531011	8.15022e-05	0.00237591	0.00103993	0.00683246	0.00369562	0.00626094	0.00649635	0.00242587	0.00237254	0.00729491	0.0124	0.00146273	0.00314812	0.00989445	0.00403526	0.00427687	0.015385	0.000240951	0.000910029	0.00568267	0.00152769	0.00176038	0.00114714	0.00397105	0.00726243	0.00289579	0.00576462	0.0488911	0.0141796	0.00400084	0.00876771	0.00938003	0.00212797	0.000672485	0.00123621	0.0387746	0.0347477	0.00103462	0.0310835	0.00315266	0.000380828	0.00170875	0.00347888	0.015323	0.000750519	0.016025	0.000242957	0.00382075	0.00992545	0.0277561	0.0535958	0.00190753	0.00132254	0.00039333	0.00620847	0.020015	0.00731098	0.0479621	0.00617559	0.00107792	0.00506616	4.046064
252	-2086.654	-2245.191	158.5372	0.00181349	0.175198	0.824802	0.998187	0.1673004	0.10132	2.0774e-05	0.0327744	0.0474074	0.0385177	0.0220686	0.0434147	0.00354397	0.000100127	0.0391286	0.0532437	0.0441451	0.0282407	0.026969	0.0166364	0.0416687	0.0438222	0.0138957	0.000388607	0.031996	0.0975045	0.0496523	0.000797255	0.00668477	0.00622259	0.00277939	0.000244673	0.00290717	0.00121816	0.000702584	0.00143014	0.00134364	0.0009096	0.0128824	0.00872602	0.00644239	0.00479166	0.00254881	0.00346534	0.010017	0.0071105	0.00503793	0.0137577	0.0131486	0.0064658	0.0192857	0.0584034	0.00735317	0.012706	0.00335167	0.00793624	0.0239552	0.00358388	0.0174765	0.0216043	0.0025407	0.000116871	0.00360555	0.00215168	0.00441743	0.0426228	0.00531391	0.00197245	0.00922664	0.00178814	0.104622	0.00541586	0.0425283	0.00474685	0.00881465	0.00779022	0.00228328	0.000685979	0.0383186	0.013424	0.000637041	0.00451121	0.014926	0.00361308	0.0425798	0.0337759	0.0124519	0.011628	0.00608931	0.00248095	0.0140184	0.0411884	0.00499543	0.00219786	0.00211667	0.0442791	0.46384	0.478514	0.0542138	0.00343134	0.0883258	0.306199	0.691262	1.44663	3.26585	11.3217	1.754688	0.0627129	1.28582e-05	0.0202859	0.0293431	0.0238408	0.0136595	0.0268718	0.00219356	6.19744e-05	0.0242189	0.0329555	0.0273238	0.0174797	0.0166926	0.0102972	0.0257911	0.027124	0.00860081	0.000240531	0.0198041	0.060351	0.0307325	0.000493465	0.00413758	0.0038515	0.00172032	0.000151442	0.00179941	0.000753988	0.000434869	0.000885191	0.000831654	0.000563002	0.00797361	0.00540102	0.00398755	0.00296583	0.0015776	0.00214489	0.00620009	0.00440108	0.00311825	0.00851543	0.0081384	0.00400204	0.011937	0.0361491	0.00455129	0.00786444	0.00207453	0.00491218	0.0148272	0.00221826	0.0108172	0.0133721	0.00157258	7.23379e-05	0.00223168	0.00133179	0.00273419	0.0263817	0.00328907	0.00122086	0.00571088	0.00110678	0.0647563	0.00335218	0.0263231	0.00293809	0.00545588	0.0048218	0.00141325	0.000424591	0.0237175	0.00830885	0.0003943	0.00279224	0.0092385	0.00223634	0.026355	0.0209058	0.00770718	0.00719721	0.00376901	0.0015356	0.00867679	0.0254938	0.00309195	0.00136038	0.00131013	0.0274068	1.615624
288	-2098.848	-2250.866	152.0178	0.178644	0.402033	0.597967	0.821356	1.543552	0.333334	0.0532941	0.0435658	0.154259	0.0484294	0.132676	0.0894246	0.00816619	0.00766	0.0688622	0.144107	0.0837046	0.0915372	0.174907	0.106095	0.0881788	0.10451	0.0691689	0.00333991	0.0547644	0.194055	0.0656987	0.0108453	0.0197267	0.0129992	0.00211907	0.00787717	0.00162286	0.00757664	0.00256367	0.0101847	0.0160965	0.00765578	0.0843715	0.0302	0.0449561	0.0214965	0.00724993	0.024696	0.0159612	0.0754698	0.0248276	0.06028	0.033234	0.0570463	0.0250553	0.163604	0.0193776	0.101432	0.176657	0.00343402	0.016362	0.0701936	0.115813	0.00881699	0.00631274	0.0909528	0.0421634	0.0267459	0.164832	0.0151557	0.0481303	0.0663098	0.00548308	0.304402	0.108413	0.000479096	0.00199742	0.0212914	0.014638	0.0175403	0.0730204	0.09474	0.0206169	0.0700766	0.00308066	0.037286	0.117328	0.0191963	0.0200952	0.0883952	0.0101625	0.0649027	0.00674653	0.0104717	0.00628471	0.0450582	0.207581	0.00292832	0.0140255	0.0155083	0.702311	0.211348	0.0792032	0.00713724	0.240575	0.499154	0.805109	1.24207	2.00339	4.15671	1.030173	0.0633486	0.0101283	0.00827949	0.0293162	0.00920381	0.0252146	0.0169948	0.00155195	0.00145575	0.013087	0.027387	0.0159077	0.0173963	0.0332404	0.0201628	0.016758	0.0198616	0.0131452	0.000634736	0.0104077	0.0368793	0.0124858	0.0020611	0.00374898	0.00247045	0.000402719	0.00149702	0.000308418	0.00143991	0.000487215	0.00193555	0.00305907	0.00145495	0.0160344	0.00573939	0.00854371	0.00408532	0.00137782	0.00469337	0.00303336	0.0143427	0.00471837	0.011456	0.00631597	0.0108414	0.00476166	0.0310922	0.00368263	0.0192768	0.0335729	0.000652621	0.00310953	0.01334	0.0220098	0.00167563	0.00119971	0.0172852	0.00801298	0.00508295	0.0313256	0.00288027	0.00914695	0.0126019	0.00104204	0.0578504	0.0206034	9.10501e-05	0.0003796	0.00404635	0.0027819	0.00333347	0.0138772	0.0180049	0.00391816	0.0133178	0.000585467	0.00708604	0.0222977	0.00364817	0.00381901	0.0167991	0.00193135	0.0123345	0.00128215	0.00199009	0.00119438	0.00856312	0.0394498	0.000556514	0.00266549	0.00294728	5.261891
324	-2089.973	-2240.917	150.9445	0.194454	0.408764	0.591235	0.805547	1.756755	0.317374	0.0424806	0.0244722	0.0545214	0.0903696	0.163477	0.129366	0.0241128	0.011346	0.0875944	0.128372	0.165531	0.127211	0.0990185	0.0775338	0.176206	0.162504	0.03523	0.0116151	0.0754759	0.511945	0.11487	0.0164647	0.00467873	0.0104588	0.00570699	0.0167109	0.0146341	0.00708116	0.0014091	0.00743752	0.0142839	0.00532685	0.0594822	0.0153217	0.0097394	0.0184642	0.0129076	0.0413404	0.0390847	0.0124675	0.0214703	0.0209627	0.0419455	0.0179392	0.0214208	0.109062	0.0172919	0.174877	0.323988	0.00131421	0.00343173	0.0260751	0.007719	0.017936	0.024215	0.145716	0.0114637	0.0178282	0.183137	0.0347944	0.0288926	0.0340004	0.00970789	0.316688	0.231125	0.00272872	0.00684213	0.0291527	0.028115	0.126152	0.0943132	0.187923	0.00946095	0.0158396	0.00223879	0.0193957	0.00525071	0.0288729	0.00105358	0.0214868	0.00769625	0.00913432	0.00822095	0.0891613	0.0112381	0.109281	0.141927	0.0142693	0.00764256	0.00159547	0.67387	0.031721	0.244848	0.0495609	0.24697	0.505582	0.808329	1.23712	1.97792	4.04907	1.011202	0.055046	0.00736792	0.0042445	0.0094563	0.0156739	0.0283537	0.0224374	0.00418216	0.00196788	0.0151925	0.0222651	0.02871	0.0220638	0.017174	0.0134476	0.0305615	0.028185	0.00611035	0.00201454	0.0130907	0.0887927	0.0199232	0.00285566	0.000811487	0.001814	0.00098983	0.00289837	0.00253817	0.00122817	0.000244397	0.00128998	0.00247742	0.000923898	0.0103167	0.00265743	0.00168922	0.00320246	0.00223872	0.00717016	0.00677893	0.00216239	0.00372385	0.0036358	0.00727511	0.00311141	0.00371527	0.0189159	0.00299913	0.0303309	0.056193	0.000227939	0.000595206	0.00452251	0.0013388	0.00311085	0.00419989	0.0252733	0.00198829	0.00309216	0.0317636	0.0060348	0.00501119	0.00589709	0.00168375	0.054927	0.0400868	0.000473274	0.00118671	0.00505629	0.00487632	0.0218801	0.0163579	0.0325937	0.00164092	0.00274724	0.000388299	0.00336402	0.000910693	0.00500778	0.000182735	0.0037267	0.00133485	0.00158427	0.00142586	0.0154643	0.00194916	0.018954	0.0246161	0.0024749	0.00132554	0.000276721	5.765623
